aX,aY,aZ,gX,gY,gZ
-0.464,0.802,0.204,-4.333,-17.883,-2.319
-0.460,0.812,0.215,6.226,-10.376,1.892
-0.456,0.804,0.255,15.015,-2.625,4.028

-1.701,1.146,-0.008,299.744,57.251,98.572
-1.843,1.225,-0.100,359.619,69.275,141.907
-1.983,1.256,-0.090,404.358,88.867,177.124
-2.121,1.270,0.029,437.378,111.938,199.402
-2.222,1.218,0.198,458.008,129.395,211.975
-2.416,1.173,0.348,467.529,141.846,215.942
-2.492,1.158,0.497,469.055,147.583,210.510
-2.441,1.218,0.855,473.083,144.531,199.524
-2.474,1.300,1.132,493.164,129.761,201.477
-2.345,1.380,1.268,534.546,101.013,227.661
-2.356,1.372,1.505,577.759,59.814,265.076
-2.520,1.253,1.630,584.961,4.028,303.040
-2.604,1.045,1.356,532.043,-61.890,309.265
-2.673,0.862,0.860,427.917,-122.925,273.804
-2.678,0.778,0.135,323.975,-166.809,222.168
-2.659,0.751,-0.647,275.574,-187.500,190.857
-2.458,0.604,-1.290,309.143,-180.664,195.984
-2.116,0.350,-1.646,393.066,-144.043,224.365
-1.660,-0.039,-1.774,458.374,-88.013,239.685
-1.138,-0.358,-1.836,458.069,-24.597,216.553
-0.654,-0.453,-1.623,400.269,25.574,166.687
0.238,-0.642,-1.330,322.021,47.852,138.062
1.771,-0.999,-1.040,253.662,45.410,142.944
3.368,-1.057,-0.822,214.661,42.053,162.842
4.000,-1.090,-0.627,210.205,71.594,198.608
4.000,-1.027,-0.518,202.087,138.550,244.995
4.000,-1.306,0.128,149.475,225.891,250.854
4.000,-1.756,1.398,63.782,321.411,214.355
4.000,-1.759,2.609,-0.549,424.683,132.751
4.000,-1.301,3.608,-7.751,468.445,55.786
3.191,-0.650,4.000,40.527,413.635,20.874
2.001,-0.051,4.000,109.436,288.269,8.362
1.477,0.312,3.884,138.794,116.272,-7.019
1.652,0.362,2.938,105.713,-74.280,-28.992
2.376,0.164,1.590,26.917,-244.507,-49.377
3.134,-0.104,0.152,-59.326,-375.671,-56.946
3.739,-0.445,-0.983,-112.000,-436.890,-51.697
3.846,-0.879,-1.635,-120.361,-406.555,-39.307
3.360,-1.254,-1.755,-106.995,-324.402,-39.307
2.671,-1.282,-1.554,-90.637,-243.164,-61.584
2.032,-1.143,-1.269,-78.552,-187.012,-88.074
1.534,-0.944,-0.981,-80.688,-155.823,-105.652
1.086,-0.735,-0.726,-110.046,-143.372,-111.084
0.789,-0.607,-0.613,-169.800,-136.475,-107.300
0.658,-0.529,-0.503,-254.211,-125.793,-102.234
0.499,-0.533,-0.405,-346.436,-109.009,-95.337
0.335,-0.592,-0.269,-433.655,-79.895,-88.379
0.143,-0.589,-0.061,-501.648,-45.959,-86.731
-0.113,-0.507,0.154,-538.330,-17.334,-87.708
-0.381,-0.431,0.401,-549.561,2.686,-86.853
-0.760,-0.355,0.613,-542.542,9.277,-84.595
-1.131,-0.318,0.747,-531.555,1.404,-78.857
-1.271,-0.359,0.879,-531.738,-19.104,-77.271
-1.253,-0.416,0.938,-545.410,-50.476,-85.449
-1.167,-0.430,0.895,-562.500,-79.712,-98.083
-1.186,-0.309,0.779,-569.336,-98.938,-108.704
-1.232,-0.167,0.663,-559.998,-103.821,-115.173
-1.247,-0.081,0.634,-543.640,-105.774,-114.258
-1.226,-0.017,0.690,-526.123,-117.737,-110.352
-1.324,-0.011,0.682,-512.085,-135.010,-109.924
-1.330,-0.053,0.662,-509.766,-156.433,-112.488
-1.264,-0.078,0.600,-508.850,-183.899,-126.282
-1.248,-0.043,0.504,-494.934,-208.984,-146.362
-1.199,0.058,0.361,-463.318,-226.807,-163.452
-1.122,0.269,0.251,-419.617,-237.854,-177.551
-1.034,0.489,0.120,-371.338,-241.272,-189.758
-0.956,0.670,-0.117,-324.402,-231.201,-189.697
-0.915,0.830,-0.267,-265.808,-221.375,-175.171
-0.940,0.917,-0.315,-193.481,-210.632,-155.090
-0.989,0.963,-0.261,-122.498,-195.618,-133.057
-1.016,0.933,-0.207,-65.674,-184.143,-111.572
-1.017,0.901,-0.142,-32.043,-176.147,-98.816
-1.051,0.907,-0.077,-18.982,-168.457,-96.191
-1.128,0.892,-0.000,-21.179,-164.673,-98.938
-1.039,0.875,0.004,-30.945,-168.396,-99.304
-0.981,0.873,-0.001,-36.194,-171.143,-105.347
-0.896,0.904,-0.143,-34.790,-160.645,-116.699
-0.814,1.031,-0.278,-30.334,-142.273,-121.704
-0.784,1.181,-0.349,-20.630,-120.300,-116.943
-0.758,1.301,-0.329,-5.188,-95.215,-100.647
-0.789,1.352,-0.239,14.954,-72.937,-73.669
-0.832,1.364,-0.121,36.804,-56.396,-43.579
-0.877,1.304,-0.033,53.589,-49.133,-14.954
-0.905,1.193,0.011,59.326,-50.110,5.920
-0.909,1.052,0.009,53.345,-56.519,16.235
-0.874,0.946,-0.003,39.978,-64.514,15.625
-0.805,0.875,-0.039,25.085,-70.313,4.578
-0.715,0.865,-0.126,11.475,-68.604,-10.742
-0.657,0.907,-0.188,1.587,-57.739,-23.254
-0.605,0.970,-0.173,-5.249,-41.931,-28.442
-0.578,1.014,-0.089,-7.935,-25.208,-27.283
-0.593,1.030,0.020,-7.690,-14.587,-19.287
-0.594,1.007,0.115,-4.761,-15.259,-6.104
-0.593,0.947,0.144,-1.465,-23.743,7.019
-0.579,0.871,0.127,3.540,-33.264,17.029
