aX,aY,aZ,gX,gY,gZ
-0.326,0.245,0.790,11.353,-16.602,-29.114
-0.317,0.225,0.781,-1.831,-10.437,-30.762

-1.512,1.273,-0.568,-306.763,76.965,-137.939
-1.894,1.547,-0.689,-300.720,80.505,-127.441
-2.304,1.837,-0.817,-299.561,85.022,-109.680
-2.808,2.202,-0.938,-320.557,91.736,-83.984
-3.322,2.430,-1.067,-371.460,94.910,-51.819
-3.534,2.590,-1.238,-432.312,89.355,-27.100
-3.742,2.664,-1.517,-479.858,85.815,4.944
-3.533,2.990,-1.778,-483.765,94.360,45.532
-3.241,3.446,-1.975,-428.284,127.991,104.187
-2.851,3.929,-1.918,-347.656,185.425,177.185
-2.462,4.000,-1.643,-279.480,252.441,245.483
-2.049,4.000,-1.239,-249.573,312.317,300.171
-1.631,4.000,-0.919,-270.081,348.938,348.633
-1.144,4.000,-0.803,-312.378,365.723,391.113
-0.646,4.000,-0.834,-353.882,367.676,427.612
-0.208,4.000,-0.979,-386.963,360.291,451.294
0.243,4.000,-1.232,-396.606,346.375,468.628
0.592,4.000,-1.435,-383.789,335.449,483.154
0.758,3.704,-1.520,-369.873,334.412,481.445
0.979,3.052,-1.537,-351.135,334.045,460.510
1.106,2.639,-1.543,-307.312,324.829,420.654
1.286,2.506,-1.635,-235.901,299.683,380.188
1.687,2.688,-1.877,-174.438,258.728,342.285
2.360,2.937,-2.037,-143.921,215.393,299.988
2.787,2.771,-2.011,-133.911,196.045,280.701
2.934,2.336,-1.819,-143.616,195.862,271.362
2.977,1.783,-1.521,-166.077,193.176,251.343
2.935,1.177,-1.186,-173.401,185.547,224.976
2.760,0.564,-0.866,-156.189,175.415,196.472
2.522,0.050,-0.538,-124.084,156.738,158.142
2.279,-0.037,-0.222,-82.092,129.333,116.089
1.920,0.026,-0.095,-35.278,109.497,100.281
1.783,-0.017,-0.056,5.737,118.286,100.586
1.425,-0.006,0.211,13.428,123.657,85.327
1.059,0.004,0.467,-4.150,99.121,56.519
0.847,0.058,0.512,-22.827,62.927,26.062
0.629,0.115,0.526,-28.442,27.649,8.484
0.363,0.162,0.532,-20.508,0.061,2.258
0.234,0.152,0.432,-8.911,-21.057,0.183
-0.165,0.000,0.262,-6.470,-32.104,-1.221
-0.336,0.008,0.195,-6.104,-31.921,-14.282
-0.399,0.010,0.194,13.000,-42.603,-39.490
-0.477,0.120,0.159,34.058,-52.734,-48.889
-0.578,0.192,0.142,45.105,-62.622,-55.237
-0.513,0.261,0.037,43.396,-73.486,-65.186
-0.660,0.331,0.018,37.170,-87.769,-75.623
-0.623,0.355,-0.110,40.894,-98.328,-84.106
-0.670,0.355,-0.211,54.626,-102.356,-95.337
-0.634,0.390,-0.332,75.562,-106.384,-108.887
-0.606,0.477,-0.432,102.661,-103.455,-122.742
-0.541,0.664,-0.518,131.165,-96.313,-131.836
-0.545,0.818,-0.544,155.029,-83.923,-132.690
-0.598,0.870,-0.491,166.565,-69.275,-131.042
-0.688,0.919,-0.394,162.292,-58.044,-133.057
-0.779,0.955,-0.291,143.311,-56.030,-138.062
-0.857,0.906,-0.257,117.004,-64.819,-142.334
-0.879,0.787,-0.289,94.666,-80.627,-146.851
-0.862,0.619,-0.366,85.083,-97.229,-155.457
-0.842,0.480,-0.432,95.886,-109.375,-169.067
-0.746,0.458,-0.481,130.615,-115.601,-186.707
-0.582,0.613,-0.529,187.927,-111.206,-200.745
-0.509,0.811,-0.524,254.150,-90.149,-200.317
-0.536,1.005,-0.440,317.505,-58.167,-190.063
-0.649,1.227,-0.271,358.459,-22.461,-178.894
-0.793,1.341,-0.091,352.966,1.587,-173.706
-0.921,1.354,0.050,304.749,4.944,-178.589
-0.976,1.271,0.101,244.873,-6.897,-190.552
-0.983,1.092,0.099,198.242,-26.245,-203.796
-0.921,0.954,0.072,178.955,-47.302,-217.163
-0.829,0.877,0.057,191.345,-64.758,-228.760
-0.724,0.882,0.057,230.103,-75.439,-234.863
-0.584,1.036,0.101,287.231,-74.951,-231.689
-0.492,1.313,0.158,350.342,-60.608,-210.022
-0.500,1.529,0.241,400.757,-37.415,-167.725
-0.559,1.542,0.352,426.025,-11.902,-117.554
-0.645,1.423,0.450,420.776,8.240,-76.172
-0.743,1.214,0.517,391.602,22.522,-54.016
-0.797,0.991,0.571,351.746,30.334,-49.255
-0.824,0.776,0.589,313.416,33.203,-56.763
-0.798,0.661,0.601,284.363,33.691,-70.984
-0.802,0.628,0.612,270.996,30.823,-83.008
-0.728,0.661,0.653,276.001,28.137,-82.336
