aX,aY,aZ,gX,gY,gZ
-0.411,-0.088,0.937,7.507,-5.859,-5.737
-0.399,-0.063,0.894,11.414,-9.155,-5.493
-0.392,-0.047,0.853,12.207,-9.949,-4.517

-1.957,0.166,0.777,-18.188,11.658,54.504
-2.265,0.118,0.818,2.014,20.325,78.186
-2.624,0.110,0.900,23.376,31.494,99.670
-2.965,0.104,1.081,44.250,41.321,118.042
-3.187,0.027,1.237,60.059,44.373,135.437
-3.224,-0.051,1.272,66.833,34.973,147.522
-3.216,-0.082,1.192,70.129,20.020,151.306
-3.270,-0.101,1.071,71.899,3.357,152.405
-3.268,-0.137,0.876,72.998,-16.418,154.053
-3.155,-0.257,0.616,75.806,-38.025,151.917
-2.902,-0.405,0.382,81.177,-55.115,142.700
-2.551,-0.459,0.167,97.595,-68.481,127.625
-2.174,-0.456,0.044,128.052,-78.064,112.671
-1.717,-0.546,-0.057,164.062,-86.121,101.746
-1.082,-0.625,-0.216,197.693,-93.140,91.553
-0.414,-0.572,-0.372,225.220,-92.346,81.726
0.231,-0.415,-0.420,240.479,-78.796,76.965
1.078,-0.275,-0.256,230.957,-55.725,80.627
2.127,-0.241,0.050,190.063,-28.503,93.018
2.817,-0.409,0.189,133.545,7.507,106.873
3.239,-0.510,0.299,67.322,57.373,110.168
3.940,-0.526,0.567,4.822,108.704,101.685
4.000,-0.676,0.983,-24.292,162.842,85.999
4.000,-0.682,1.810,-7.385,236.877,49.438
4.000,0.049,2.996,40.039,309.509,-16.541
4.000,1.084,4.000,94.788,328.430,-65.552
3.507,1.804,4.000,142.456,270.203,-59.143
2.804,1.979,4.000,154.297,141.663,-19.226
2.489,1.738,3.891,93.567,-7.874,7.446
2.510,1.213,2.826,-29.358,-138.245,5.920
2.899,0.618,1.546,-172.485,-241.150,-12.939
3.164,0.036,0.482,-275.513,-295.471,-26.672
2.997,-0.438,-0.189,-296.875,-283.203,-23.499
2.582,-0.728,-0.397,-230.164,-230.835,-9.521
2.025,-0.880,-0.175,-101.929,-176.453,8.179
1.388,-0.854,0.120,27.161,-140.320,15.564
0.806,-0.766,0.369,101.624,-124.939,6.531
