aX,aY,aZ,gX,gY,gZ
-0.575,0.271,0.714,7.019,3.357,0.916

-1.988,0.477,0.431,-34.912,49.988,19.043
-2.276,0.535,0.439,-39.856,65.491,28.687
-2.572,0.574,0.468,-43.213,83.069,42.419
-2.895,0.609,0.526,-44.495,100.952,55.054
-3.137,0.624,0.648,-39.246,115.234,68.970
-3.345,0.537,0.743,-16.174,121.216,91.064
-3.490,0.375,0.713,37.476,117.615,128.845
-3.544,0.182,0.550,118.713,105.225,177.917
-3.731,-0.054,0.192,198.486,85.083,223.145
-3.992,-0.305,-0.375,247.864,56.702,251.465
-4.000,-0.483,-0.988,261.353,22.034,258.667
-3.961,-0.658,-1.566,247.437,-2.747,253.296
-3.614,-0.923,-2.013,223.999,-5.127,242.310
-3.161,-1.170,-2.286,203.125,13.916,219.116
-2.566,-1.196,-2.291,188.171,49.988,187.317
-1.692,-1.285,-2.003,178.589,95.947,158.325
-0.665,-1.296,-1.446,168.701,142.517,128.784
0.431,-1.169,-0.689,155.212,181.763,94.971
1.593,-1.020,0.111,136.353,209.106,71.777
3.092,-1.196,0.647,97.961,215.759,60.242
4.000,-1.395,1.013,41.809,225.403,31.799
4.000,-1.191,1.313,-12.573,266.541,-46.204
4.000,-0.395,1.948,-52.185,318.054,-162.048
4.000,0.678,2.517,-71.167,332.458,-262.634
4.000,1.865,2.642,-58.350,311.340,-312.439
4.000,3.206,2.529,-18.860,293.274,-320.923
4.000,4.000,2.484,23.804,261.780,-275.757
3.322,4.000,2.581,57.312,208.008,-176.941
2.463,4.000,2.598,59.326,115.601,-48.096
2.328,3.266,2.327,3.357,-15.015,78.003
2.840,1.675,1.786,-97.351,-155.762,162.231
3.442,0.261,1.183,-187.134,-254.944,194.275
3.546,-0.639,0.757,-210.754,-282.166,198.425
3.213,-1.077,0.652,-147.278,-260.803,195.862
2.697,-1.177,0.669,-32.410,-234.009,185.364
2.235,-1.068,0.646,67.871,-221.924,167.847
1.752,-0.797,0.619,114.319,-220.337,140.259
1.357,-0.566,0.632,103.882,-216.309,113.220
0.997,-0.501,0.614,56.458,-206.604,91.003
0.670,-0.513,0.529,-4.456,-192.017,70.007
0.334,-0.568,0.503,-58.350,-170.959,47.485
0.036,-0.617,0.553,-95.520,-149.048,27.344
-0.286,-0.666,0.615,-111.572,-130.859,9.888
-0.668,-0.674,0.589,-111.633,-122.253,-6.042
-0.950,-0.609,0.488,-100.586,-121.338,-24.597
-1.213,-0.450,0.366,-82.458,-119.629,-43.884
-1.548,-0.254,0.246,-68.176,-108.887,-59.326
-1.858,-0.086,0.192,-67.749,-93.567,-68.054
-2.007,0.030,0.211,-81.909,-81.543,-69.763
-2.109,-0.014,0.268,-104.309,-72.266,-67.566
-2.065,-0.226,0.393,-128.174,-66.650,-63.171
-1.997,-0.359,0.555,-138.916,-60.974,-60.913
-1.992,-0.392,0.704,-130.676,-50.537,-64.514
-1.881,-0.334,0.806,-110.107,-46.692,-70.435
-1.749,-0.207,0.834,-87.219,-47.546,-80.322
-1.627,-0.038,0.840,-76.172,-47.974,-95.337
