aX,aY,aZ,gX,gY,gZ
-0.602,0.201,0.644,-10.010,0.366,-0.244

-1.830,0.492,0.449,-0.610,63.049,203.430
-2.006,0.576,0.536,-6.714,76.294,223.450
-2.225,0.744,0.688,-7.874,80.811,246.887
-2.452,0.916,0.813,-4.272,72.693,278.259
-2.683,1.053,0.870,1.709,56.702,315.491
-2.855,1.204,0.932,10.864,43.335,351.135
-2.923,1.300,1.119,24.902,38.696,384.033
-2.874,1.363,1.325,41.016,33.386,416.504
-2.795,1.406,1.511,55.908,20.203,447.693
-2.584,1.395,1.622,69.702,-8.423,476.318
-2.269,1.370,1.617,83.740,-47.913,498.291
-2.052,1.380,1.590,97.595,-87.708,513.489
-1.870,1.394,1.464,110.107,-125.305,521.790
-1.587,1.422,1.298,116.760,-163.330,521.606
-1.251,1.431,1.081,116.394,-195.618,516.357
-0.892,1.391,0.931,113.525,-211.670,511.719
-0.542,1.308,0.839,120.911,-217.834,510.681
-0.294,1.195,0.786,143.860,-216.370,511.597
0.001,1.153,0.734,176.941,-208.130,508.423
0.364,1.152,0.773,201.477,-201.294,498.901
0.759,1.068,0.734,207.825,-194.763,482.605
1.215,0.895,0.690,201.111,-181.213,463.562
1.368,0.687,0.749,197.510,-149.780,447.021
1.414,0.480,0.887,202.209,-103.821,431.580
1.561,0.374,1.055,205.078,-66.162,411.926
1.796,0.359,1.148,199.280,-39.001,386.047
2.049,0.274,1.209,180.359,-20.630,357.117
2.257,0.101,1.336,148.193,-8.667,319.763
2.301,-0.080,1.507,118.103,11.719,263.916
2.210,-0.016,1.744,101.501,35.278,192.383
2.117,0.125,1.937,93.750,47.424,122.131
2.143,0.378,1.945,78.857,39.368,58.838
2.227,0.624,1.922,51.331,20.996,5.859
2.134,0.762,1.801,14.282,-1.465,-35.156
2.037,0.657,1.479,-24.475,-30.640,-68.298
1.981,0.457,1.031,-61.951,-58.044,-99.915
1.910,0.334,0.658,-89.600,-66.956,-129.517
1.832,0.227,0.373,-100.342,-59.143,-145.447
1.713,0.114,0.260,-95.032,-36.804,-148.315
1.563,0.007,0.293,-79.834,-6.042,-144.653
1.394,-0.116,0.383,-63.354,23.071,-141.418
1.209,-0.220,0.530,-56.213,44.678,-146.851
1.032,-0.262,0.664,-65.491,56.335,-161.438
0.891,-0.265,0.713,-88.806,60.120,-178.528
0.750,-0.295,0.691,-117.981,64.819,-192.505
0.595,-0.370,0.625,-145.325,72.815,-203.247
0.459,-0.432,0.580,-162.964,84.534,-213.623
0.320,-0.447,0.597,-169.189,101.379,-225.586
0.207,-0.435,0.677,-164.978,120.239,-238.281
0.092,-0.363,0.807,-154.236,139.465,-252.075
-0.061,-0.231,1.004,-138.977,155.334,-264.282
-0.246,-0.128,1.199,-123.108,163.208,-268.921
-0.455,-0.052,1.330,-112.366,157.593,-267.517
-0.703,-0.018,1.343,-109.924,144.531,-264.709
-0.921,-0.024,1.284,-115.112,129.822,-264.099
-1.051,-0.045,1.213,-124.939,115.784,-266.479
-1.103,-0.130,1.164,-131.470,106.018,-268.982
-1.131,-0.252,1.131,-127.441,104.797,-266.785
-1.129,-0.322,1.171,-110.413,111.572,-263.184
-1.125,-0.329,1.277,-84.778,122.375,-259.460
-1.131,-0.284,1.369,-59.937,131.714,-256.287
-1.158,-0.183,1.452,-47.363,133.118,-255.920
-1.230,-0.098,1.488,-51.758,122.314,-257.568
-1.257,-0.087,1.386,-68.726,97.778,-258.545
-1.208,-0.122,1.200,-87.036,69.336,-262.146
-1.145,-0.122,1.028,-96.924,50.232,-270.264
-1.108,-0.070,0.909,-95.642,42.114,-278.992
-1.067,0.008,0.849,-85.022,39.612,-283.569
-1.048,0.084,0.823,-70.251,40.100,-281.982
-1.048,0.107,0.795,-57.434,42.053,-274.414
-1.079,0.105,0.800,-49.133,47.119,-262.451
-1.112,0.075,0.846,-43.030,52.368,-249.634
-1.138,0.022,0.890,-41.077,51.941,-238.403
-1.157,-0.028,0.903,-42.542,46.631,-231.628
-1.168,-0.064,0.901,-46.753,36.499,-228.027
-1.138,-0.088,0.883,-49.744,23.254,-226.440
-1.113,-0.088,0.863,-47.058,11.536,-225.342
-1.081,-0.085,0.841,-38.940,3.357,-224.426
-1.046,-0.071,0.829,-29.175,-1.770,-225.403
-1.014,-0.019,0.836,-23.010,-2.258,-230.286
-0.996,0.102,0.864,-24.414,-2.014,-236.084
-0.993,0.243,0.899,-35.217,-4.822,-235.962
-0.996,0.318,0.916,-46.814,-12.390,-227.051
-0.985,0.346,0.889,-51.880,-24.475,-212.158
-0.954,0.349,0.843,-46.082,-37.476,-193.848
-0.920,0.318,0.774,-33.264,-47.546,-175.232
-0.893,0.293,0.707,-20.020,-54.382,-159.668
-0.854,0.256,0.652,-9.705,-57.617,-147.278
-0.826,0.201,0.619,-3.723,-55.359,-137.085
-0.802,0.151,0.605,0.427,-48.767,-131.287
-0.784,0.166,0.613,2.686,-40.955,-127.808
-0.769,0.261,0.660,0.488,-35.034,-121.338
-0.769,0.333,0.724,-9.033,-33.447,-106.995
-0.751,0.332,0.792,-21.301,-36.133,-86.365
-0.735,0.275,0.822,-27.344,-40.344,-64.270
-0.713,0.200,0.842,-22.644,-42.969,-45.166
-0.707,0.111,0.863,-10.986,-42.053,-31.616
-0.714,0.065,0.894,0.854,-39.734,-25.024
-0.721,0.041,0.891,7.263,-39.001,-24.902
-0.701,0.029,0.869,4.578,-40.161,-28.259
-0.713,0.053,0.847,-3.357,-41.687,-32.959
-0.692,0.095,0.822,-11.597,-40.894,-33.630
-0.699,0.126,0.803,-15.869,-38.879,-29.480
-0.681,0.156,0.771,-14.771,-36.499,-19.226
-0.693,0.163,0.757,-7.874,-32.043,-6.165
-0.677,0.169,0.752,0.671,-27.893,7.019
-0.684,0.146,0.769,9.033,-21.179,17.273
-0.688,0.133,0.773,13.000,-14.648,22.217
-0.676,0.127,0.777,13.550,-9.827,22.949
-0.658,0.120,0.786,12.756,-6.470,20.691
-0.635,0.126,0.794,10.559,-5.127,16.296
-0.623,0.155,0.827,6.958,-4.517,10.986
-0.618,0.191,0.844,3.418,-5.859,6.653
-0.604,0.213,0.827,0.549,-10.132,4.150
-0.589,0.219,0.787,1.038,-15.381,4.395
-0.579,0.204,0.750,4.639,-18.372,6.348
-0.569,0.190,0.719,8.667,-19.104,8.972
-0.557,0.173,0.685,10.559,-18.433,9.827
-0.545,0.156,0.648,9.705,-16.724,9.644

-1.692,0.709,0.673,-11.780,46.875,129.700
-1.859,0.678,0.727,-12.878,45.166,165.710
-2.054,0.562,0.719,-10.620,43.884,202.332
-2.254,0.523,0.695,-4.639,45.044,232.239
-2.490,0.550,0.683,4.883,46.692,256.531
-2.840,0.644,0.614,16.724,50.049,280.396
-3.114,0.833,0.617,26.123,52.246,302.490
-3.148,1.023,0.776,25.696,51.880,324.707
-3.014,1.121,0.976,16.602,48.523,353.638
-2.836,1.211,1.203,12.817,39.429,389.465
-2.613,1.263,1.417,26.733,20.508,433.167
-2.418,1.320,1.534,59.204,-12.939,480.469
-2.233,1.357,1.503,97.168,-62.439,523.987
-1.988,1.336,1.286,123.718,-122.070,555.969
-1.747,1.260,0.943,132.690,-176.697,571.899
-1.446,1.133,0.550,128.174,-214.783,569.580
-1.155,1.055,0.224,118.652,-228.027,552.734
-1.075,1.100,0.028,113.464,-221.558,534.546
-0.716,1.163,-0.110,126.404,-205.811,515.747
-0.474,1.385,-0.069,148.193,-179.077,508.545
-0.246,1.536,0.293,181.030,-146.667,511.963
-0.006,1.550,0.605,213.928,-131.836,522.156
0.297,1.417,0.779,234.253,-136.780,529.419
0.749,1.178,0.704,225.098,-141.296,527.527
1.132,0.879,0.482,184.692,-128.174,512.390
1.537,0.595,0.390,123.840,-90.759,483.215
1.958,0.338,0.478,68.359,-33.447,446.289
2.271,0.081,0.697,35.217,31.616,405.945
2.485,-0.299,1.011,27.954,89.478,357.666
2.628,-0.331,1.575,56.458,140.869,287.231
2.685,-0.073,2.405,109.558,181.824,205.139
2.634,0.327,3.068,147.705,174.622,135.925
2.559,0.698,3.344,152.710,120.422,82.703
2.440,0.915,3.227,117.188,54.260,36.011
2.339,0.927,2.769,46.143,-8.667,-12.939
2.280,0.824,2.040,-44.006,-69.885,-64.819
2.274,0.666,1.248,-125.061,-117.493,-107.117
2.231,0.469,0.582,-165.283,-138.000,-130.066
2.145,0.291,0.169,-155.640,-127.625,-132.568
1.962,0.148,0.034,-104.614,-94.116,-122.131
1.721,0.020,0.078,-40.039,-51.697,-109.192
1.493,-0.070,0.187,3.113,-16.663,-103.943
1.260,-0.129,0.326,12.146,7.385,-110.413
1.072,-0.186,0.404,-10.376,21.667,-122.192
0.846,-0.232,0.412,-49.927,30.273,-135.132
0.606,-0.314,0.319,-92.834,39.612,-145.691
0.436,-0.404,0.262,-129.211,51.514,-155.579
0.260,-0.474,0.241,-153.137,69.458,-168.213
0.127,-0.485,0.256,-163.696,88.562,-185.059
0.053,-0.440,0.376,-165.771,105.591,-204.285
-0.002,-0.361,0.568,-158.813,123.474,-221.191
-0.096,-0.289,0.792,-147.705,139.893,-236.145
-0.213,-0.218,1.010,-145.447,149.658,-250.854
-0.522,-0.130,1.174,-156.189,152.222,-267.273
-0.858,-0.071,1.243,-182.129,146.790,-282.837
-1.059,-0.077,1.263,-218.018,130.554,-296.265
-1.155,-0.076,1.307,-238.403,114.624,-304.687
-1.191,-0.137,1.379,-223.816,102.722,-303.345
-1.144,-0.220,1.424,-178.467,93.445,-289.612
