aX,aY,aZ,gX,gY,gZ
-1.685,0.830,-0.370,26.428,130.493,-32.288
-1.669,0.813,-0.395,39.551,142.517,-35.950
-1.578,0.774,-0.388,51.331,154.541,-40.466
-1.485,0.713,-0.372,58.350,165.833,-44.250
-1.448,0.621,-0.393,58.472,175.659,-45.044
-1.450,0.531,-0.440,50.598,182.495,-44.373
-1.415,0.497,-0.472,35.889,185.608,-44.617
-1.368,0.601,-0.489,18.616,185.913,-46.631
-1.318,0.696,-0.483,4.944,185.486,-50.049
-1.265,0.767,-0.475,-2.808,188.049,-53.711
-1.230,0.791,-0.476,-5.493,194.336,-57.068
-1.225,0.771,-0.493,-5.859,203.857,-59.753
-1.145,0.700,-0.506,-6.042,215.759,-61.951
-1.041,0.615,-0.536,-9.521,227.722,-62.927
-0.930,0.549,-0.594,-19.043,238.098,-62.073
-0.779,0.568,-0.634,-34.485,245.667,-60.303
-0.607,0.726,-0.650,-50.720,250.671,-58.716
-0.474,0.910,-0.642,-60.059,252.930,-58.105
-0.414,1.010,-0.621,-59.814,252.869,-57.861
-0.393,1.033,-0.602,-51.392,252.625,-56.030
-0.345,0.956,-0.606,-39.368,254.028,-52.734
-0.280,0.822,-0.618,-29.053,256.714,-47.913
-0.213,0.676,-0.625,-24.719,260.620,-43.152
-0.100,0.560,-0.628,-26.550,265.991,-40.710
0.047,0.499,-0.612,-32.776,270.447,-43.152
0.196,0.509,-0.553,-40.649,271.484,-50.476
0.340,0.575,-0.503,-46.814,269.165,-59.021
0.461,0.615,-0.486,-48.340,260.864,-62.683
0.516,0.620,-0.450,-46.204,245.911,-59.204
0.533,0.610,-0.416,-43.213,227.905,-53.162
0.522,0.607,-0.406,-41.321,210.388,-49.866
0.471,0.619,-0.380,-41.016,196.472,-51.453
0.424,0.663,-0.339,-41.138,187.744,-57.495
0.393,0.747,-0.287,-38.818,184.814,-64.636
0.385,0.824,-0.236,-32.471,187.439,-70.801
0.440,0.882,-0.164,-21.423,192.383,-74.646
0.544,0.974,-0.088,-6.592,195.862,-77.576
0.703,1.049,-0.058,11.902,193.481,-78.186
0.833,1.063,-0.051,33.936,180.420,-72.388
0.869,1.002,-0.036,54.260,157.898,-60.730
0.803,0.876,-0.029,68.298,133.362,-48.584
0.732,0.727,-0.037,72.021,114.258,-41.138
0.657,0.620,-0.041,64.697,103.271,-37.659
0.635,0.587,-0.038,49.561,99.792,-35.034
0.643,0.624,-0.013,31.921,100.342,-32.349
0.672,0.703,0.028,15.747,101.929,-30.212
0.717,0.799,0.070,3.662,102.112,-29.175
0.747,0.888,0.110,-2.380,100.098,-28.442
0.782,0.983,0.145,-3.174,95.154,-25.146
0.811,1.024,0.164,0.122,86.548,-17.517
0.798,1.009,0.189,5.920,74.341,-7.751
0.770,0.951,0.197,10.620,61.951,0.000
0.725,0.897,0.201,12.512,51.880,4.578
0.685,0.861,0.213,11.292,46.021,6.409
0.677,0.855,0.224,8.667,43.396,7.324
0.693,0.863,0.242,5.737,42.236,7.690
0.708,0.880,0.271,3.052,40.039,7.812
0.733,0.911,0.296,1.221,36.438,8.240
0.751,0.921,0.310,0.549,31.189,10.254
0.745,0.905,0.327,0.488,23.987,14.038
0.745,0.878,0.327,-0.122,16.296,18.555
0.735,0.842,0.327,-2.075,9.033,22.339
0.722,0.826,0.334,-5.310,2.625,24.719
0.713,0.828,0.335,-9.399,-2.075,25.513
0.712,0.856,0.338,-12.817,-5.981,25.330
0.717,0.897,0.337,-14.709,-10.498,25.146
0.724,0.924,0.327,-14.832,-16.052,26.245
0.727,0.943,0.319,-13.428,-23.071,27.588
0.730,0.952,0.302,-11.292,-31.128,28.748
0.708,0.937,0.275,-9.033,-39.612,30.151
0.678,0.915,0.251,-7.324,-47.241,32.471
0.667,0.909,0.237,-7.202,-53.223,35.034
0.672,0.907,0.222,-7.874,-59.265,37.720
0.683,0.921,0.209,-8.362,-67.200,40.527
0.691,0.941,0.196,-8.179,-77.820,42.969
0.682,0.958,0.182,-6.592,-90.515,45.349
0.655,0.956,0.164,-3.784,-104.248,47.729
0.597,0.945,0.161,-0.183,-117.371,50.476
0.540,0.931,0.159,4.395,-128.052,53.955
0.496,0.903,0.147,8.911,-136.719,58.411
0.455,0.890,0.152,12.939,-143.494,63.965
0.428,0.868,0.147,16.846,-149.170,68.298
0.394,0.844,0.145,19.775,-154.724,71.960
0.362,0.835,0.129,22.278,-159.546,75.317
0.338,0.818,0.118,24.963,-163.940,77.332
0.324,0.789,0.105,26.428,-168.579,78.186
0.327,0.774,0.070,26.855,-173.889,78.979
0.294,0.749,0.051,25.330,-180.664,79.407
0.226,0.718,0.050,21.851,-188.171,79.468
0.132,0.716,0.066,16.113,-194.336,78.796
0.034,0.724,0.046,9.949,-198.364,78.125
-0.078,0.726,0.033,4.700,-200.745,77.881
-0.197,0.735,0.039,0.916,-199.890,76.416
-0.273,0.734,0.031,-1.648,-193.726,73.181
-0.267,0.718,0.001,-4.395,-184.021,69.153
