aX,aY,aZ,gX,gY,gZ
-0.626,0.710,0.108,37.415,3.723,23.376

-1.572,1.104,-0.040,65.979,44.312,27.893
-1.611,1.199,-0.033,80.566,49.683,35.645
-1.657,1.275,-0.032,99.854,54.871,45.288
-1.674,1.270,-0.031,122.925,59.204,56.641
-1.787,1.250,-0.059,149.109,62.073,69.397
-1.845,1.216,-0.101,175.903,66.589,84.656
-1.905,1.181,-0.144,202.881,70.862,99.365
-1.977,1.112,-0.162,229.065,75.500,113.647
-1.983,1.077,-0.146,252.808,80.566,126.709
-1.927,1.029,-0.140,275.024,84.106,139.709
-1.905,0.970,-0.170,296.509,82.153,153.320
-1.983,0.905,-0.200,318.298,75.317,166.016
-2.039,0.836,-0.216,339.539,69.397,174.133
-1.984,0.748,-0.248,359.192,66.528,175.537
-1.862,0.632,-0.303,375.732,64.758,172.424
-1.814,0.616,-0.290,389.038,63.293,167.175
-1.743,0.541,-0.336,401.367,65.491,160.583
-1.649,0.389,-0.401,412.476,69.519,153.992
-1.620,0.153,-0.436,419.067,75.073,147.888
-1.524,-0.156,-0.410,416.260,86.426,138.611
-1.118,-0.537,-0.422,398.804,100.830,125.610
-0.744,-0.887,-0.429,363.647,103.271,113.647
-0.699,-1.039,-0.295,313.721,93.811,103.821
-0.736,-0.987,-0.158,259.399,91.309,92.285
-0.592,-0.866,-0.108,212.402,108.032,78.735
-0.263,-0.794,-0.086,176.514,137.695,66.223
0.190,-0.781,-0.031,151.123,170.227,56.702
0.671,-0.803,0.035,132.690,199.097,50.598
1.096,-0.781,0.159,118.347,223.267,43.396
1.579,-0.775,0.263,107.117,244.202,29.480
1.993,-0.835,0.368,99.121,259.766,6.897
2.286,-0.943,0.449,90.332,266.968,-22.400
2.493,-1.064,0.526,75.684,266.357,-55.603
2.605,-1.068,0.617,50.232,260.681,-88.135
2.674,-0.979,0.630,14.709,250.549,-115.051
2.618,-0.783,0.637,-27.344,233.765,-132.507
2.387,-0.470,0.703,-71.716,211.548,-138.550
2.117,-0.058,0.761,-108.459,189.392,-131.653
1.880,0.313,0.820,-128.052,166.199,-114.136
1.633,0.571,0.927,-126.282,138.977,-86.975
1.437,0.607,1.001,-105.225,108.337,-52.979
1.303,0.455,1.030,-72.815,74.951,-19.470
1.205,0.200,1.039,-39.368,40.161,5.188
1.103,-0.061,1.036,-11.780,8.057,19.592
1.044,-0.304,0.985,6.714,-19.653,24.475
1.019,-0.490,0.896,17.151,-43.884,25.208
0.969,-0.609,0.814,19.043,-64.880,24.841
0.907,-0.659,0.761,13.428,-80.994,23.987
0.892,-0.683,0.714,2.869,-90.820,23.071
0.923,-0.692,0.680,-11.108,-96.008,22.888
0.956,-0.714,0.664,-29.480,-100.281,23.193
1.024,-0.733,0.649,-51.941,-105.835,25.208
1.068,-0.766,0.623,-79.163,-114.075,28.076
1.003,-0.777,0.603,-111.694,-124.512,30.640
0.884,-0.666,0.633,-147.156,-132.385,33.020
0.811,-0.427,0.684,-178.894,-134.216,35.400
0.791,-0.201,0.743,-199.158,-132.141,38.757
0.812,-0.006,0.810,-206.726,-129.517,44.495
0.828,0.115,0.872,-204.590,-127.625,51.270
0.830,0.129,0.877,-197.876,-126.221,57.495
0.812,0.053,0.817,-192.200,-127.014,62.805
0.636,-0.035,0.751,-193.298,-130.432,65.186
0.389,-0.082,0.669,-202.881,-131.348,65.491
0.205,-0.116,0.634,-219.299,-126.892,63.965
0.008,-0.131,0.613,-242.554,-115.906,60.486
-0.102,-0.182,0.531,-271.362,-100.098,54.443
-0.153,-0.211,0.441,-304.687,-86.243,49.194
-0.247,-0.212,0.309,-339.539,-79.224,46.875
-0.383,-0.149,0.196,-371.826,-77.332,46.265
-0.542,-0.054,0.122,-398.499,-75.989,43.030
-0.627,0.058,0.059,-418.152,-72.937,34.302
-0.637,0.152,-0.028,-430.664,-70.435,19.531
-0.622,0.283,-0.108,-436.890,-73.181,0.183
-0.686,0.431,-0.155,-436.218,-82.458,-20.325
-0.821,0.594,-0.135,-427.368,-94.482,-39.978
-0.919,0.770,-0.094,-410.583,-103.943,-55.847
-1.033,0.938,-0.039,-386.230,-109.985,-64.880
-1.097,1.090,0.027,-355.164,-113.464,-67.078
-1.121,1.135,0.044,-319.031,-116.272,-62.378
-1.127,1.206,0.016,-279.602,-121.826,-52.185
-1.251,1.267,0.021,-238.770,-129.150,-45.715
-1.371,1.209,0.037,-198.425,-133.179,-47.241
-1.388,1.120,-0.022,-160.034,-131.470,-49.255
-1.399,1.004,-0.083,-127.075,-127.808,-49.866
-1.421,0.852,-0.160,-103.271,-123.108,-51.819
-1.403,0.772,-0.215,-90.088,-117.981,-53.650
-1.426,0.757,-0.248,-85.266,-113.708,-55.359
-1.439,0.764,-0.269,-84.412,-109.802,-57.007
-1.408,0.838,-0.268,-84.473,-105.835,-57.495
-1.345,0.876,-0.254,-83.801,-102.234,-58.594
-1.266,0.922,-0.212,-82.031,-99.854,-60.486
-1.202,0.957,-0.176,-78.796,-97.900,-59.937
-1.172,0.989,-0.172,-75.562,-95.032,-56.335
-1.187,1.039,-0.177,-72.693,-90.698,-51.392
-1.191,1.104,-0.177,-69.458,-83.069,-43.884
-1.163,1.070,-0.191,-62.378,-74.036,-31.616
-1.160,1.138,-0.219,-52.917,-67.322,-17.456
-1.173,1.093,-0.199,-40.710,-63.293,-7.996
-1.105,1.066,-0.182,-27.283,-58.838,-0.427
-1.010,1.007,-0.196,-13.916,-57.190,6.653
-0.964,0.944,-0.206,-2.502,-59.570,13.184
-0.943,0.885,-0.220,5.737,-62.134,17.578
-0.900,0.841,-0.243,11.108,-62.012,19.531
-0.821,0.833,-0.269,13.550,-60.547,20.691
-0.745,0.839,-0.291,14.587,-60.181,20.935
-0.702,0.851,-0.298,14.465,-60.669,20.386
-0.689,0.867,-0.309,13.977,-60.425,20.996
-0.707,0.869,-0.311,13.184,-58.594,22.949
-0.728,0.864,-0.299,12.939,-54.077,24.719
-0.727,0.856,-0.275,13.611,-47.302,24.475
-0.699,0.862,-0.249,15.381,-40.161,22.583
-0.691,0.860,-0.230,19.104,-34.668,20.691
-0.706,0.837,-0.211,24.170,-30.823,18.555
-0.741,0.744,-0.198,28.381,-27.527,15.747
-0.762,0.692,-0.189,28.931,-23.376,13.245
-0.747,0.700,-0.182,25.574,-18.799,11.597
-0.709,0.709,-0.176,21.790,-15.320,9.766
-0.696,0.725,-0.168,18.188,-14.771,7.812
-0.690,0.749,-0.169,15.808,-15.320,6.104

-1.391,1.022,-0.227,98.083,37.537,-3.052
-1.508,1.023,-0.238,111.023,42.969,-1.160
-1.612,1.056,-0.247,125.610,49.133,1.282
-1.737,1.099,-0.279,142.456,54.810,5.066
-1.888,1.153,-0.324,161.987,58.838,11.169
-2.073,1.197,-0.385,184.509,62.500,17.578
-2.252,1.248,-0.454,208.374,67.444,23.926
-2.413,1.297,-0.521,233.337,73.792,31.677
-2.519,1.347,-0.597,258.484,81.787,42.358
-2.694,1.387,-0.647,284.485,90.088,54.871
-2.802,1.432,-0.693,311.768,101.257,70.374
-2.793,1.506,-0.651,340.942,116.211,85.632
-2.505,1.595,-0.586,372.864,131.287,101.257
-2.087,1.483,-0.620,408.081,137.329,121.216
-1.830,1.335,-0.607,442.444,126.587,146.301
-1.711,1.157,-0.580,472.229,105.957,169.189
-1.571,0.923,-0.593,496.399,86.792,181.152
-1.488,0.596,-0.589,511.169,73.853,177.429
-1.357,0.249,-0.496,513.672,69.702,162.048
-0.988,-0.071,-0.423,501.160,72.266,141.602
-0.667,-0.345,-0.354,473.328,72.205,121.826
