aX,aY,aZ,gX,gY,gZ
-0.790,0.860,0.046,-49.316,-86.853,-76.111

-1.368,1.229,-0.102,30.823,72.449,-4.028
-1.487,1.319,-0.111,34.180,80.566,0.061
-1.599,1.425,-0.127,38.879,90.149,3.967
-1.705,1.564,-0.146,45.593,102.051,9.277
-1.779,1.694,-0.167,55.176,116.577,16.846
-1.803,1.820,-0.193,67.383,132.385,26.367
-1.814,1.918,-0.228,80.261,147.644,36.682
-1.841,1.964,-0.245,93.506,161.255,48.584
-1.859,1.982,-0.284,104.980,173.584,63.110
-1.906,1.994,-0.298,113.892,184.631,79.102
-1.925,2.019,-0.312,119.934,195.068,94.849
-1.903,2.068,-0.296,124.268,205.078,109.863
-1.839,2.111,-0.286,128.784,216.187,124.573
-1.740,2.127,-0.281,134.583,229.614,140.442
-1.615,2.136,-0.298,142.578,244.141,158.447
-1.479,2.107,-0.342,153.015,257.629,177.368
-1.299,2.051,-0.384,165.894,267.761,195.251
-1.094,1.999,-0.414,181.030,272.034,209.778
-0.881,1.917,-0.474,197.327,270.264,221.497
-0.721,1.795,-0.521,212.463,264.465,232.056
-0.584,1.662,-0.546,224.182,258.484,242.187
-0.431,1.507,-0.581,231.689,256.104,251.099
-0.273,1.338,-0.611,235.352,255.859,257.935
-0.091,1.180,-0.620,234.619,254.395,261.841
0.066,1.029,-0.604,230.896,250.366,261.841
0.194,0.889,-0.575,224.487,244.446,256.836
0.318,0.767,-0.536,216.125,236.694,248.901
0.435,0.707,-0.495,205.383,228.333,240.845
0.544,0.720,-0.445,194.153,220.398,232.971
0.622,0.746,-0.381,184.082,212.280,225.159
0.734,0.817,-0.365,177.002,204.895,218.079
0.842,0.849,-0.367,175.415,196.716,210.999
0.920,0.821,-0.357,178.162,187.683,202.576
0.978,0.730,-0.359,182.678,179.199,193.787
1.018,0.582,-0.341,184.937,172.852,185.730
1.059,0.438,-0.319,181.946,168.274,177.490
1.093,0.296,-0.268,173.645,164.917,169.006
1.153,0.190,-0.189,161.926,161.499,159.241
1.227,0.107,-0.113,149.109,156.250,147.766
1.319,-0.002,-0.025,136.169,148.499,135.376
1.393,-0.112,0.064,122.864,138.733,122.864
1.479,-0.233,0.127,107.727,127.930,110.718
1.491,-0.307,0.212,89.478,115.479,99.670
1.500,-0.382,0.257,69.763,102.417,89.050
1.453,-0.439,0.325,49.500,89.111,79.163
1.383,-0.482,0.376,30.396,76.721,68.542
1.311,-0.500,0.424,12.512,65.125,56.396
1.269,-0.506,0.482,-3.662,54.321,43.457
1.250,-0.473,0.556,-18.311,44.678,31.860
1.267,-0.402,0.640,-30.701,36.011,21.545
1.280,-0.316,0.739,-38.757,27.222,11.719
1.276,-0.247,0.833,-42.236,17.883,2.808
1.235,-0.240,0.898,-41.931,8.301,-3.479
1.183,-0.264,0.942,-40.466,-0.793,-7.812
1.146,-0.288,0.968,-39.551,-9.521,-13.550
1.107,-0.303,0.980,-40.100,-18.311,-21.240
1.075,-0.295,0.985,-41.931,-26.855,-30.151
1.055,-0.277,0.976,-44.617,-34.973,-39.063
1.047,-0.263,0.958,-48.523,-43.823,-47.913
1.041,-0.238,0.937,-53.589,-54.626,-57.678
1.015,-0.183,0.915,-60.242,-66.772,-68.237
0.954,-0.126,0.896,-68.787,-78.308,-78.308
0.876,-0.055,0.875,-77.881,-86.914,-85.510
0.822,0.005,0.849,-86.853,-92.529,-91.003
0.783,0.081,0.821,-94.482,-96.375,-95.642
0.750,0.156,0.792,-99.854,-100.586,-98.877
0.710,0.213,0.763,-102.112,-106.445,-101.440
0.662,0.254,0.735,-101.318,-113.464,-104.370
0.614,0.299,0.730,-99.243,-120.605,-109.375
0.564,0.339,0.738,-96.802,-126.526,-115.173
0.496,0.372,0.746,-94.421,-132.202,-119.568
0.434,0.394,0.742,-92.468,-138.306,-122.437
0.383,0.426,0.727,-90.332,-145.508,-125.427
0.273,0.451,0.709,-87.952,-153.687,-129.272
0.149,0.446,0.682,-85.510,-159.973,-132.385
0.063,0.446,0.639,-83.740,-162.292,-133.240
0.016,0.458,0.599,-83.252,-161.255,-132.324
-0.003,0.483,0.572,-84.167,-158.813,-131.348
-0.011,0.539,0.573,-85.938,-157.288,-131.714
-0.027,0.590,0.585,-87.341,-158.325,-132.385
-0.053,0.641,0.583,-87.219,-162.170,-131.226
-0.099,0.670,0.540,-85.327,-168.640,-128.723
-0.164,0.674,0.492,-82.886,-176.819,-125.183
-0.240,0.666,0.435,-80.078,-184.143,-122.070
-0.326,0.652,0.390,-77.515,-189.148,-119.812
-0.401,0.637,0.372,-75.439,-190.430,-117.798
-0.470,0.636,0.359,-73.792,-187.256,-115.173
-0.490,0.647,0.342,-72.327,-180.664,-111.938
-0.477,0.672,0.342,-70.618,-173.889,-109.192
-0.474,0.714,0.344,-67.871,-169.922,-107.300
-0.495,0.721,0.312,-64.575,-169.373,-105.164
-0.548,0.708,0.292,-61.401,-170.715,-101.196
-0.599,0.689,0.266,-58.533,-171.448,-95.947
-0.614,0.645,0.223,-55.786,-170.349,-91.919
-0.618,0.630,0.214,-54.504,-168.884,-90.332
-0.607,0.609,0.202,-54.077,-166.626,-90.637
-0.594,0.585,0.183,-54.993,-164.062,-92.957
-0.591,0.573,0.179,-57.434,-161.926,-95.398
-0.632,0.588,0.181,-61.157,-159.973,-97.229
-0.674,0.606,0.167,-65.308,-157.898,-97.656
-0.699,0.627,0.153,-69.153,-156.128,-96.497
-0.713,0.645,0.119,-72.083,-155.518,-93.811
-0.750,0.661,0.089,-73.975,-155.090,-91.431
-0.769,0.686,0.066,-74.829,-153.809,-89.844
-0.753,0.724,0.033,-74.219,-151.123,-88.928
-0.739,0.746,0.008,-72.083,-148.132,-87.769
-0.727,0.770,-0.012,-68.909,-144.470,-85.754
-0.736,0.793,-0.027,-65.063,-140.503,-83.069
-0.760,0.813,-0.024,-60.852,-135.986,-80.566
-0.783,0.829,-0.009,-56.213,-130.676,-78.552
-0.775,0.834,-0.002,-51.331,-125.488,-76.904
-0.760,0.833,0.003,-46.387,-121.521,-75.195
-0.746,0.797,-0.007,-41.687,-119.812,-72.937
-0.754,0.752,-0.016,-38.757,-119.934,-70.862
-0.757,0.709,-0.036,-37.781,-120.422,-69.824
-0.777,0.682,-0.060,-39.185,-120.728,-70.129
-0.819,0.669,-0.075,-42.603,-120.605,-71.899
-0.859,0.669,-0.087,-47.180,-118.652,-74.829
-0.873,0.669,-0.110,-52.979,-114.807,-77.820

-1.366,1.296,-0.112,68.359,87.341,11.047
-1.381,1.379,-0.117,76.416,99.182,15.747
-1.396,1.453,-0.125,84.717,108.521,21.973
-1.414,1.514,-0.129,92.651,115.662,29.236
-1.454,1.565,-0.141,99.915,121.704,36.682
-1.493,1.589,-0.157,104.919,127.930,45.288
-1.520,1.603,-0.164,107.361,134.827,55.237
-1.539,1.607,-0.160,106.628,143.005,66.223
-1.537,1.609,-0.156,102.844,152.405,78.247
-1.499,1.632,-0.159,97.351,161.926,91.553
-1.479,1.659,-0.160,92.590,169.373,105.286
-1.488,1.686,-0.173,90.942,174.683,118.164
-1.504,1.700,-0.209,93.201,178.589,129.456
-1.536,1.705,-0.242,99.426,182.312,140.076
-1.561,1.700,-0.275,108.765,187.134,150.513
-1.557,1.682,-0.312,119.934,194.153,162.048
-1.511,1.668,-0.343,131.836,203.186,174.683
-1.417,1.664,-0.374,144.287,213.257,187.195
-1.297,1.644,-0.432,156.494,221.497,198.792
-1.181,1.593,-0.498,167.358,224.854,210.266
-1.080,1.535,-0.527,176.086,222.961,221.436
-0.926,1.483,-0.525,181.946,219.727,230.957
-0.736,1.452,-0.514,184.326,216.919,238.342
-0.543,1.404,-0.495,183.350,215.210,244.751
-0.360,1.372,-0.486,179.749,213.989,251.465
-0.184,1.320,-0.494,175.720,212.219,259.094
-0.053,1.235,-0.486,171.448,208.801,264.648
0.067,1.148,-0.448,167.358,204.834,266.968
0.246,1.073,-0.382,163.086,201.233,266.907
